codigo_suministro,sed_id,alimentador_id,score_anomalia,percentil_prioridad,consumo_diario_promedio,tendencia_mensual,meses_cero_pct,prioridad
SUM_012974,SED_0450,ALIM_311,67.25,32.747,6.7,-0.2341,0.0,NO_PRIORIZADO
SUM_007459,SED_0061,ALIM_311,67.24,32.76,4.86,-0.1562,0.0,NO_PRIORIZADO
SUM_006248,SED_2789,ALIM_311,67.23,32.774,1.11,-0.1334,0.0,NO_PRIORIZADO
SUM_011425,SED_1523,ALIM_311,67.23,32.767,4.84,-0.1507,0.0,NO_PRIORIZADO
SUM_005192,SED_1207,ALIM_311,67.22,32.78,0.11,0.0017,8.3,NO_PRIORIZADO
SUM_010012,SED_2329,ALIM_311,67.21,32.787,4.09,-0.2648,0.0,NO_PRIORIZADO
SUM_010453,SED_0098,ALIM_311,67.21,32.794,4.09,0.1034,0.0,NO_PRIORIZADO
SUM_008542,SED_1886,ALIM_311,67.2,32.8,10.13,0.0825,0.0,NO_PRIORIZADO
SUM_000119,SED_1871,ALIM_311,67.19,32.814,3.34,-0.483,0.0,NO_PRIORIZADO
SUM_004208,SED_1137,ALIM_311,67.19,32.807,0.17,0.0084,0.0,NO_PRIORIZADO
SUM_007226,SED_1830,ALIM_311,67.18,32.821,3.83,0.1265,0.0,NO_PRIORIZADO
SUM_003272,SED_0450,ALIM_311,67.17,32.827,5.46,0.4838,0.0,NO_PRIORIZADO
SUM_014143,SED_0524,ALIM_311,67.17,32.834,8.0,-0.0858,0.0,NO_PRIORIZADO
SUM_017302,SED_2661,ALIM_311,67.16,32.841,0.28,0.0021,0.0,NO_PRIORIZADO
SUM_016206,SED_0933,ALIM_311,67.15,32.847,35.69,0.0245,0.0,NO_PRIORIZADO
SUM_018236,SED_0151,ALIM_311,67.15,32.854,8.24,-0.0343,0.0,NO_PRIORIZADO
SUM_009384,SED_0151,ALIM_311,67.14,32.861,4.73,-0.2344,0.0,NO_PRIORIZADO
SUM_002660,SED_0515,ALIM_311,67.13,32.867,2.98,0.0712,0.0,NO_PRIORIZADO
SUM_003626,SED_2315,ALIM_311,67.13,32.874,1.63,-0.0121,0.0,NO_PRIORIZADO
SUM_002330,SED_1777,ALIM_311,67.12,32.881,2.86,-0.1175,0.0,NO_PRIORIZADO
SUM_010966,SED_0450,ALIM_311,67.11,32.887,4.35,-0.0059,0.0,NO_PRIORIZADO
SUM_011830,SED_0524,ALIM_311,67.11,32.894,3.85,-0.0831,0.0,NO_PRIORIZADO
SUM_017337,SED_2170,ALIM_311,67.1,32.901,1.32,0.0128,0.0,NO_PRIORIZADO
SUM_011718,SED_0515,ALIM_311,67.09,32.907,1.04,-0.2996,0.0,NO_PRIORIZADO
SUM_016858,SED_1942,ALIM_311,67.09,32.914,1.81,-0.0104,0.0,NO_PRIORIZADO
SUM_002196,SED_0670,ALIM_311,67.08,32.921,9.7,0.0531,0.0,NO_PRIORIZADO
SUM_009718,SED_2475,ALIM_311,67.07,32.934,1.56,-0.0442,0.0,NO_PRIORIZADO
SUM_017316,SED_1041,ALIM_311,67.07,32.928,0.37,0.1369,33.3,NO_PRIORIZADO
SUM_001842,SED_0450,ALIM_311,67.06,32.941,1.05,-0.0815,8.3,NO_PRIORIZADO
SUM_000299,SED_0169,ALIM_311,67.05,32.948,1.19,0.0039,0.0,NO_PRIORIZADO
SUM_017691,SED_0151,ALIM_311,67.05,32.954,1.96,-0.1007,0.0,NO_PRIORIZADO
SUM_002241,SED_2074,ALIM_311,67.04,32.961,6.69,0.1675,0.0,NO_PRIORIZADO
SUM_005528,SED_1207,ALIM_311,67.03,32.968,2.84,0.1619,0.0,NO_PRIORIZADO
SUM_012217,SED_2074,ALIM_311,67.03,32.974,3.1,-0.0603,0.0,NO_PRIORIZADO
SUM_003411,SED_2170,ALIM_311,67.02,32.981,2.2,0.3951,16.7,NO_PRIORIZADO
SUM_019393,SED_1641,ALIM_311,67.01,32.994,0.33,0.058,0.0,NO_PRIORIZADO
SUM_019655,SED_0090,ALIM_311,67.01,32.988,7.36,0.1175,0.0,NO_PRIORIZADO
SUM_000393,SED_0229,ALIM_311,67.0,33.001,4.23,-0.0408,0.0,NO_PRIORIZADO
SUM_008004,SED_1216,ALIM_311,66.99,33.008,6.16,-0.2623,0.0,NO_PRIORIZADO
SUM_008618,SED_2315,ALIM_311,66.99,33.015,2.68,-0.0272,0.0,NO_PRIORIZADO
SUM_003919,SED_2558,ALIM_311,66.98,33.021,3.99,-0.0199,0.0,NO_PRIORIZADO
SUM_015971,SED_2743,ALIM_311,66.97,33.035,2.43,-0.1663,0.0,NO_PRIORIZADO
SUM_016245,SED_0362,ALIM_311,66.97,33.028,0.99,0.1348,16.7,NO_PRIORIZADO
SUM_008928,SED_2154,ALIM_311,66.96,33.041,0.53,-0.026,0.0,NO_PRIORIZADO
SUM_001825,SED_1777,ALIM_311,66.95,33.055,1.11,0.0659,16.7,NO_PRIORIZADO
SUM_012188,SED_2362,ALIM_311,66.95,33.048,3.48,-0.0415,0.0,NO_PRIORIZADO
SUM_011889,SED_1199,ALIM_311,66.94,33.061,2.18,0.0732,0.0,NO_PRIORIZADO
SUM_013992,SED_0151,ALIM_311,66.93,33.075,2.14,-0.3148,0.0,NO_PRIORIZADO
SUM_019779,SED_2661,ALIM_311,66.93,33.068,0.37,0.0121,0.0,NO_PRIORIZADO
SUM_017977,SED_1942,ALIM_311,66.92,33.081,1.35,0.1122,8.3,NO_PRIORIZADO
SUM_002190,SED_2475,ALIM_311,66.91,33.095,1.85,-0.0184,0.0,NO_PRIORIZADO
SUM_011728,SED_0450,ALIM_311,66.91,33.088,3.6,-0.0029,0.0,NO_PRIORIZADO
SUM_012988,SED_0552,ALIM_311,66.9,33.101,1.76,0.1955,41.7,NO_PRIORIZADO
SUM_011234,SED_0501,ALIM_311,66.89,33.115,2.74,-0.0125,0.0,NO_PRIORIZADO
SUM_018689,SED_1942,ALIM_311,66.89,33.108,3.13,-0.3024,0.0,NO_PRIORIZADO
SUM_004492,SED_1693,ALIM_311,66.88,33.122,1.56,-0.071,0.0,NO_PRIORIZADO
SUM_010895,SED_0938,ALIM_311,66.87,33.128,11.04,0.0558,0.0,NO_PRIORIZADO
SUM_019234,SED_0853,ALIM_311,66.87,33.135,4.65,-0.1999,0.0,NO_PRIORIZADO
SUM_000324,SED_1206,ALIM_311,66.86,33.142,4.64,0.0533,0.0,NO_PRIORIZADO
SUM_001702,SED_0362,ALIM_311,66.85,33.155,12.48,0.3025,0.0,NO_PRIORIZADO
SUM_004487,SED_2789,ALIM_311,66.85,33.148,2.98,0.0526,0.0,NO_PRIORIZADO
SUM_009211,SED_0061,ALIM_311,66.84,33.162,2.99,0.077,0.0,NO_PRIORIZADO
SUM_004872,SED_2096,ALIM_311,66.83,33.168,2.56,-0.113,0.0,NO_PRIORIZADO
SUM_007526,SED_2262,ALIM_311,66.82,33.182,30.83,0.4449,0.0,NO_PRIORIZADO
SUM_018907,SED_2642,ALIM_311,66.82,33.175,4.06,0.3444,0.0,NO_PRIORIZADO
SUM_003800,SED_2735,ALIM_311,66.81,33.188,4.51,0.0363,0.0,NO_PRIORIZADO
SUM_007586,SED_0229,ALIM_311,66.8,33.195,3.46,-0.17,0.0,NO_PRIORIZADO
SUM_017297,SED_1741,ALIM_311,66.8,33.202,6.71,-0.2078,0.0,NO_PRIORIZADO
SUM_003398,SED_2170,ALIM_311,66.79,33.208,0.01,-0.0016,83.3,NO_PRIORIZADO
SUM_014757,SED_1199,ALIM_311,66.78,33.215,2.3,0.0371,8.3,NO_PRIORIZADO
SUM_017725,SED_0670,ALIM_311,66.78,33.222,13.71,-0.1676,0.0,NO_PRIORIZADO
SUM_002994,SED_2475,ALIM_311,66.77,33.229,4.08,-0.2715,0.0,NO_PRIORIZADO
SUM_015334,SED_1886,ALIM_311,66.76,33.242,6.3,-0.1957,0.0,NO_PRIORIZADO
SUM_015953,SED_2789,ALIM_311,66.76,33.235,1.01,0.1657,16.7,NO_PRIORIZADO
SUM_018932,SED_2170,ALIM_311,66.75,33.249,6.92,0.1551,0.0,NO_PRIORIZADO
SUM_009138,SED_2604,ALIM_311,66.74,33.262,0.05,0.0131,83.3,NO_PRIORIZADO
SUM_011982,SED_2096,ALIM_311,66.74,33.255,3.57,-0.1228,0.0,NO_PRIORIZADO
SUM_016350,SED_2170,ALIM_311,66.73,33.269,5.86,0.1097,0.0,NO_PRIORIZADO
SUM_002080,SED_1199,ALIM_311,66.72,33.275,1.9,-0.0045,0.0,NO_PRIORIZADO
SUM_018233,SED_2105,ALIM_311,66.72,33.282,3.39,-0.185,0.0,NO_PRIORIZADO
SUM_007801,SED_2002,ALIM_311,66.71,33.289,1.36,-0.0157,0.0,NO_PRIORIZADO
SUM_005582,SED_0752,ALIM_311,66.7,33.302,4.13,-0.2398,0.0,NO_PRIORIZADO
SUM_016264,SED_0828,ALIM_311,66.7,33.295,2.51,0.0431,0.0,NO_PRIORIZADO
SUM_001596,SED_2475,ALIM_311,66.69,33.309,2.19,0.0505,0.0,NO_PRIORIZADO
SUM_009774,SED_0212,ALIM_311,66.68,33.315,2.29,-0.014,0.0,NO_PRIORIZADO
SUM_014099,SED_1528,ALIM_311,66.68,33.322,4.2,-0.1888,0.0,NO_PRIORIZADO
SUM_000597,SED_0061,ALIM_311,66.67,33.329,3.51,0.086,41.7,NO_PRIORIZADO
SUM_006925,SED_1009,ALIM_311,66.66,33.336,4.95,-0.3207,0.0,NO_PRIORIZADO
SUM_012671,SED_2642,ALIM_311,66.66,33.342,0.12,0.0091,16.7,NO_PRIORIZADO
SUM_012044,SED_2475,ALIM_311,66.65,33.349,1.35,0.0977,0.0,NO_PRIORIZADO
SUM_000954,SED_1482,ALIM_311,66.64,33.356,2.72,-0.0541,0.0,NO_PRIORIZADO
SUM_002847,SED_0169,ALIM_311,66.64,33.362,3.91,-0.183,0.0,NO_PRIORIZADO
SUM_018088,SED_1942,ALIM_311,66.63,33.369,4.94,-0.592,0.0,NO_PRIORIZADO
SUM_000116,SED_0501,ALIM_311,66.62,33.376,9.6,-0.2732,0.0,NO_PRIORIZADO
SUM_015331,SED_0063,ALIM_311,66.62,33.382,3.73,-0.1186,0.0,NO_PRIORIZADO
SUM_010367,SED_2642,ALIM_311,66.61,33.389,0.03,-0.0002,25.0,NO_PRIORIZADO
SUM_007365,SED_1009,ALIM_311,66.6,33.402,4.46,0.0535,0.0,NO_PRIORIZADO
SUM_017661,SED_1777,ALIM_311,66.6,33.396,5.6,-0.2423,0.0,NO_PRIORIZADO
SUM_010987,SED_1497,ALIM_311,66.59,33.409,6.48,0.2247,0.0,NO_PRIORIZADO
SUM_003943,SED_0212,ALIM_311,66.58,33.416,0.43,-0.0176,0.0,NO_PRIORIZADO
SUM_009278,SED_2475,ALIM_311,66.58,33.423,3.23,-0.0378,0.0,NO_PRIORIZADO
SUM_014191,SED_0752,ALIM_311,66.57,33.429,6.3,-0.0085,0.0,NO_PRIORIZADO
SUM_014262,SED_2470,ALIM_311,66.56,33.443,1.32,0.0096,0.0,NO_PRIORIZADO
SUM_017548,SED_0938,ALIM_311,66.56,33.436,2.49,-0.0354,0.0,NO_PRIORIZADO
SUM_007450,SED_0515,ALIM_311,66.55,33.449,3.57,-0.1577,0.0,NO_PRIORIZADO
SUM_006069,SED_0035,ALIM_311,66.54,33.456,0.22,0.0181,0.0,NO_PRIORIZADO
SUM_012952,SED_1361,ALIM_311,66.54,33.463,8.48,-0.29,0.0,NO_PRIORIZADO
SUM_007605,SED_2074,ALIM_311,66.53,33.469,2.01,-0.0577,0.0,NO_PRIORIZADO
SUM_000900,SED_0090,ALIM_311,66.52,33.476,4.71,-0.0537,0.0,NO_PRIORIZADO
SUM_008673,SED_0035,ALIM_311,66.52,33.483,3.0,-0.0183,0.0,NO_PRIORIZADO
SUM_001635,SED_0938,ALIM_311,66.51,33.489,0.74,0.1488,16.7,NO_PRIORIZADO
SUM_005200,SED_0169,ALIM_311,66.5,33.496,2.25,-0.146,0.0,NO_PRIORIZADO
SUM_011852,SED_2789,ALIM_311,66.5,33.503,2.0,-0.0265,8.3,NO_PRIORIZADO
SUM_009336,SED_1523,ALIM_311,66.49,33.509,7.4,-0.0047,0.0,NO_PRIORIZADO
SUM_011674,SED_1206,ALIM_311,66.48,33.523,4.31,0.0497,0.0,NO_PRIORIZADO
SUM_015751,SED_2089,ALIM_311,66.48,33.516,1.43,-0.0608,0.0,NO_PRIORIZADO
SUM_008203,SED_0038,ALIM_311,66.47,33.53,0.87,-0.1749,8.3,NO_PRIORIZADO
SUM_003871,SED_1361,ALIM_311,66.46,33.543,7.83,0.2431,0.0,NO_PRIORIZADO
SUM_004472,SED_2363,ALIM_311,66.46,33.536,0.03,-0.0111,75.0,NO_PRIORIZADO
SUM_013097,SED_2315,ALIM_311,66.45,33.55,1.07,-0.0782,16.7,NO_PRIORIZADO
SUM_006417,SED_2105,ALIM_311,66.44,33.556,3.57,-0.1457,0.0,NO_PRIORIZADO
SUM_019256,SED_1538,ALIM_311,66.44,33.563,0.12,-0.0083,0.0,NO_PRIORIZADO
SUM_012390,SED_2470,ALIM_311,66.43,33.57,1.59,-0.0451,0.0,NO_PRIORIZADO
SUM_007968,SED_1898,ALIM_311,66.42,33.576,0.03,-0.0042,75.0,NO_PRIORIZADO
SUM_014996,SED_1137,ALIM_311,66.42,33.583,2.32,-0.0822,0.0,NO_PRIORIZADO
SUM_015411,SED_2181,ALIM_311,66.41,33.59,0.52,0.0543,16.7,NO_PRIORIZADO
SUM_006161,SED_2181,ALIM_311,66.4,33.603,0.14,-0.0193,25.0,NO_PRIORIZADO
SUM_012535,SED_2315,ALIM_311,66.4,33.596,2.04,-0.0498,0.0,NO_PRIORIZADO
SUM_008311,SED_0742,ALIM_311,66.39,33.61,5.2,-0.1886,0.0,NO_PRIORIZADO
SUM_003553,SED_2363,ALIM_311,66.38,33.616,1.08,0.071,8.3,NO_PRIORIZADO
SUM_015832,SED_0515,ALIM_311,66.38,33.623,0.05,-0.0075,58.3,NO_PRIORIZADO
SUM_015811,SED_1498,ALIM_311,66.37,33.63,1.52,0.0669,0.0,NO_PRIORIZADO
SUM_002688,SED_2475,ALIM_311,66.36,33.643,4.31,0.0454,0.0,NO_PRIORIZADO
SUM_017045,SED_1528,ALIM_311,66.36,33.637,2.67,-0.1279,0.0,NO_PRIORIZADO
SUM_009514,SED_2362,ALIM_311,66.35,33.65,9.23,0.256,0.0,NO_PRIORIZADO
SUM_000041,SED_0063,ALIM_311,66.34,33.657,3.79,0.0835,0.0,NO_PRIORIZADO
SUM_015860,SED_1600,ALIM_311,66.34,33.663,6.73,-0.373,0.0,NO_PRIORIZADO
SUM_006294,SED_0933,ALIM_311,66.33,33.67,1.94,0.0171,0.0,NO_PRIORIZADO
SUM_007503,SED_0038,ALIM_311,66.32,33.683,1.17,-0.0104,0.0,NO_PRIORIZADO
SUM_008562,SED_1538,ALIM_311,66.32,33.677,0.5,-0.0127,0.0,NO_PRIORIZADO
SUM_018826,SED_1497,ALIM_311,66.31,33.69,2.24,-0.1265,0.0,NO_PRIORIZADO
SUM_013737,SED_2105,ALIM_311,66.3,33.697,3.45,0.1251,0.0,NO_PRIORIZADO
SUM_017326,SED_2661,ALIM_311,66.3,33.703,5.49,0.1199,0.0,NO_PRIORIZADO
